Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015,133677699,139508222,0.1769,1346982,6520325,,,,,,,,,,,,,,,,,,,,,7409129,,,,
2015-Q4,33419424.75,34877055.38,0.206559516,336708.7678,1630081.125,,,,,,,,,,,,,,,,,,,,,1852282.125,,,,
2015-Q3,32942176.25,34781828.13,0.204428095,308541.9788,1505502.375,,,,,,,,,,,,,,,,,,,,,1880530.375,,,,
2015-Q2,33553558,33960911,0.203222887,311038.7433,1542374,384,2889872,4687653,23799678,4468,95442,385,2943,1,0,0,0,0,16342,1717,0,0,10473,0,739646,2792049,2321,0,95442,10473
2015-Q1,33762540,35888427,0.127571485,390692.3432,1842367,459,2077387,4762472,23993027,4352,92640,285,351857,68,26534,0,0,0,34110,1030,0,0,20080,0,1227918,884267,290,0,92640,20080
2014,132559347,131770397,0.2026,3186784,15729437,1325,6498853,16733240,,15372,353189,4521,1533672,700,150981,0,32201,0,257814,6502,0,0,25400,0,5267687,5476368,3321,21411,150981,25400
2014-Q4,,32942599,,409751,2464446,487,3315702,4327957,,3904,83580,1021,1464751,347,150981,0,32201,0,35985,871,0,0,8647,0,986332,1437028,598,6757,150981,8647
2014-Q3,,32942599,,496620,2464446,308,1521476,4339480,,4331,106939,1147,9421,4,0,0,0,0,25055,1767,0,0,8167,0,1225473,2480457,495,4490,0,8167
2014-Q2,29988500,32942599,0.1888,632738,3351371,274,1397064,4418946,21713924,3868,86610,1157,54217,348,0,0,0,0,105090,2269,0,0,722,0,955902,1268999,1088,4538,0,722
2014-Q1,29195977,32942599,0.2212,1647675,7449175,256,2028556,3646857,16487514,3269,76060,1196,5283,1,0,0,0,0,91684,1595,0,0,7864,0,2099979,289884,1140,5606,0,7864
2013,133714157,132616009,0.2285,4761467,20837930,1870,8474149,13046275,,12853,189247,3801,1216364,843,21745,0,28225,0,286626,1887,1164,27,22964,9,5244721,4557795,7473,40824,21745,24128
2013-Q4,,33598294,,1346525,6129228,675,2422839,2859823,,3245,41284,903,1093815,340,21745,0,28225,0,121685,1008,0,0,1665,0,224934,-989748,2117,14894,63852,1665
2013-Q3,,33598294,,1513975,6129228,450,1460506,3503464,,3056,47140,728,26194,85,0,0,0,0,55639,334,1164,12,6547,0,2005818,1964952,453,10798,47140,7711
2013-Q2,33890601,33598294,0.2341,1000676,4275316,465,2808436,3313943,14144114,3226,51132,993,90032,416,0,0,0,0,33345,271,0,0,7055,0,2979246,1338460,1731,4993,51132,7055
2013-Q1,30114162,31821128,0.2092,900291,4304158,280,1782368,3369045,16106898,3326,49691,1177,6029,2,0,0,0,0,75957,274,0,15,7697,9,34723,2244131,366,10139,49691,7697
